state	start_time	end_time	duration
Wake	2020-03-17 09:08:06.000000000	2020-03-17 09:17:47.989990234	0 days 00:09:41.989990234
N1	2020-03-17 09:17:47.989990234	2020-03-17 09:18:05.989990234	0 days 00:00:18
Wake	2020-03-17 09:18:05.989990234	2020-03-17 09:18:53.989990234	0 days 00:00:48
N1	2020-03-17 09:18:53.989990234	2020-03-17 09:19:11.989990234	0 days 00:00:18
N2	2020-03-17 09:19:11.989990234	2020-03-17 09:19:29.989990234	0 days 00:00:18
N1	2020-03-17 09:19:29.989990234	2020-03-17 09:19:35.989990234	0 days 00:00:06
N2	2020-03-17 09:19:35.989990234	2020-03-17 09:19:47.989990234	0 days 00:00:12
N1	2020-03-17 09:19:47.989990234	2020-03-17 09:20:23.989990234	0 days 00:00:36
N2	2020-03-17 09:20:23.989990234	2020-03-17 09:20:53.989990234	0 days 00:00:30
Wake	2020-03-17 09:20:53.989990234	2020-03-17 09:22:47.989990234	0 days 00:01:54
N1	2020-03-17 09:22:47.989990234	2020-03-17 09:23:11.989990234	0 days 00:00:24
N2	2020-03-17 09:23:11.989990234	2020-03-17 09:23:29.989990234	0 days 00:00:18
N1	2020-03-17 09:23:29.989990234	2020-03-17 09:24:11.989990234	0 days 00:00:42
N2	2020-03-17 09:24:11.989990234	2020-03-17 09:24:47.989990234	0 days 00:00:36
Wake	2020-03-17 09:24:47.989990234	2020-03-17 09:24:59.979980469	0 days 00:00:11.989990234
N1	2020-03-17 09:24:59.979980469	2020-03-17 09:26:11.989990234	0 days 00:01:12.010009766
REM	2020-03-17 09:26:11.989990234	2020-03-17 09:27:59.989990234	0 days 00:01:48
Wake	2020-03-17 09:27:59.989990234	2020-03-17 09:28:23.989990234	0 days 00:00:24
N1	2020-03-17 09:28:23.989990234	2020-03-17 09:28:47.989990234	0 days 00:00:24
N2	2020-03-17 09:28:47.989990234	2020-03-17 09:29:05.989990234	0 days 00:00:18
N1	2020-03-17 09:29:05.989990234	2020-03-17 09:29:59.989990234	0 days 00:00:54
Wake	2020-03-17 09:29:59.989990234	2020-03-17 09:30:11.989990234	0 days 00:00:12
N1	2020-03-17 09:30:11.989990234	2020-03-17 09:30:23.989990234	0 days 00:00:12
N2	2020-03-17 09:30:23.989990234	2020-03-17 09:32:17.989990234	0 days 00:01:54
N1	2020-03-17 09:32:17.989990234	2020-03-17 09:32:23.989990234	0 days 00:00:06
N2	2020-03-17 09:32:23.989990234	2020-03-17 09:32:53.989990234	0 days 00:00:30
N1	2020-03-17 09:32:53.989990234	2020-03-17 09:32:59.989990234	0 days 00:00:06
Wake	2020-03-17 09:32:59.989990234	2020-03-17 09:33:11.989990234	0 days 00:00:12
N1	2020-03-17 09:33:11.989990234	2020-03-17 09:33:35.989990234	0 days 00:00:24
N2	2020-03-17 09:33:35.989990234	2020-03-17 09:34:11.989990234	0 days 00:00:36
Wake	2020-03-17 09:34:11.989990234	2020-03-17 09:34:17.989990234	0 days 00:00:06
N1	2020-03-17 09:34:17.989990234	2020-03-17 09:34:23.989990234	0 days 00:00:06
N2	2020-03-17 09:34:23.989990234	2020-03-17 09:35:23.989990234	0 days 00:01:00
N1	2020-03-17 09:35:23.989990234	2020-03-17 09:35:35.989990234	0 days 00:00:12
N2	2020-03-17 09:35:35.989990234	2020-03-17 09:36:23.989990234	0 days 00:00:48
Wake	2020-03-17 09:36:23.989990234	2020-03-17 09:37:53.989990234	0 days 00:01:30
N1	2020-03-17 09:37:53.989990234	2020-03-17 09:38:41.989990234	0 days 00:00:48
N2	2020-03-17 09:38:41.989990234	2020-03-17 09:39:59.989990234	0 days 00:01:18
N1	2020-03-17 09:39:59.989990234	2020-03-17 09:40:11.989990234	0 days 00:00:12
N2	2020-03-17 09:40:11.989990234	2020-03-17 09:41:59.989990234	0 days 00:01:48
N1	2020-03-17 09:41:59.989990234	2020-03-17 09:42:17.989990234	0 days 00:00:18
Wake	2020-03-17 09:42:17.989990234	2020-03-17 09:42:23.989990234	0 days 00:00:06
N1	2020-03-17 09:42:23.989990234	2020-03-17 09:42:41.989990234	0 days 00:00:18
N2	2020-03-17 09:42:41.989990234	2020-03-17 09:43:23.989990234	0 days 00:00:42
Wake	2020-03-17 09:43:23.989990234	2020-03-17 09:43:35.989990234	0 days 00:00:12
N1	2020-03-17 09:43:35.989990234	2020-03-17 09:43:47.989990234	0 days 00:00:12
N2	2020-03-17 09:43:47.989990234	2020-03-17 09:44:29.989990234	0 days 00:00:42
N1	2020-03-17 09:44:29.989990234	2020-03-17 09:45:05.989990234	0 days 00:00:36
REM	2020-03-17 09:45:05.989990234	2020-03-17 09:45:29.989990234	0 days 00:00:24
N1	2020-03-17 09:45:29.989990234	2020-03-17 09:45:35.989990234	0 days 00:00:06
N2	2020-03-17 09:45:35.989990234	2020-03-17 09:45:41.989990234	0 days 00:00:06
N1	2020-03-17 09:45:41.989990234	2020-03-17 09:45:53.989990234	0 days 00:00:12
REM	2020-03-17 09:45:53.989990234	2020-03-17 09:47:41.989990234	0 days 00:01:48
Wake	2020-03-17 09:47:41.989990234	2020-03-17 09:47:53.989990234	0 days 00:00:12
N1	2020-03-17 09:47:53.989990234	2020-03-17 09:48:17.989990234	0 days 00:00:24
N2	2020-03-17 09:48:17.989990234	2020-03-17 09:48:47.989990234	0 days 00:00:30
Wake	2020-03-17 09:48:47.989990234	2020-03-17 09:48:59.989990234	0 days 00:00:12
N1	2020-03-17 09:48:59.989990234	2020-03-17 09:49:11.989990234	0 days 00:00:12
N2	2020-03-17 09:49:11.989990234	2020-03-17 09:51:59.989990234	0 days 00:02:48
N1	2020-03-17 09:51:59.989990234	2020-03-17 09:52:05.989990234	0 days 00:00:06
Wake	2020-03-17 09:52:05.989990234	2020-03-17 09:52:11.989990234	0 days 00:00:06
N1	2020-03-17 09:52:11.989990234	2020-03-17 09:52:23.989990234	0 days 00:00:12
N2	2020-03-17 09:52:23.989990234	2020-03-17 09:52:59.989990234	0 days 00:00:36
